Ticker,Full Name,Sector,Sub-Industry,Founding Year (YF),Founded (Wiki),Date Added,Market Cap,Pricing Power,Gross Margins (latest→older)
ABBV,AbbVie,Health Care,Biotechnology,,2013 (1888),2012-12-31,405548793856,31.62856864480201,"[0.6999325451769801, 0.6241577377664862, 0.7000378957522306, 0.6895563820132747]"
UBER,Uber,Industrials,Passenger Ground Transportation,,2009,2023-12-18,192484147200,31.42455994123927,"[0.3945836554640957, 0.39762881896944824, 0.383285754619318, 0.464279576052707]"
RVTY,Revvity,Health Care,Health Care Equipment,,1937,1985-05-31,10843499520,31.070416477115714,"[0.5581286710179868, 0.5597714074641229, 0.6008263729149694, 0.6358696674441351]"
FCX,Freeport-McMoRan,Materials,Copper,,1912,2011-07-01,59125178368,30.768764031977394,"[0.3009231978000393, 0.313279369940932, 0.3375768217734855, 0.3858612387831035]"
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,,1837,1957-03-04,123946033152,29.817448699156373,"[0.4105269408923552, 0.3893407250033196, 0.32756132756132755, 0.34350382264773544]"
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,,1843,1982-09-30,10502652928,29.195054784379405,"[0.29379722368652256, 0.24919682404902066, 0.2527880382831585, 0.33323081151472717]"
MCHP,Microchip Technology,Information Technology,Semiconductors,,1989,2007-09-07,35152035840,27.992956546760343,"[0.6195701563067976, 0.6902703552342031, 0.7141384336449927, 0.6935448401237373]"
DAY,Dayforce,Industrials,Human Resource & Employment Services,,1992,2021-09-20,10785522688,27.72855649411826,"[0.46142045454545455, 0.4270991609962344, 0.37971433156796663, 0.3732669400507713]"
CLX,Clorox,Consumer Staples,Household Products,,1913,1969-03-31,14578733056,27.591836928875345,"[0.48015202702702703, 0.458762159875934, 0.42143727161997563, 0.38525397495427044]"
IBM,IBM,Information Technology,IT Consulting & Other Services,,1911,1957-03-04,262017728512,27.471686651908797,"[0.6233008780456711, 0.6094568380213385, 0.540029737320337, 0.5490052483827658]"
SRE,Sempra,Utilities,Multi-Utilities,,1998,2017-03-17,59564212224,27.46980836642835,"[0.4620401971937808, 0.39593301435406697, 0.36089756908373155, 0.4120712452360582]"
CNP,CenterPoint Energy,Utilities,Multi-Utilities,,1882,1985-07-31,25879564288,27.135011678516662,"[0.46002545412472523, 0.4238730450781969, 0.36444587490612596, 0.38397988505747127]"
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,,2003,2020-12-21,1460772012032,27.057971578261075,"[0.17862626676220697, 0.18248891736331416, 0.25598438535759005, 0.25279155751258753]"
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,,1978,2021-01-21,18418806784,26.960972501338265,"[0.6848749762441289, 0.6528022744623161, 0.6068057557870685, 0.5913202700117515]"
ETR,Entergy,Utilities,Electric Utilities,,1913,1957-03-04,42783842304,26.884526934141203,"[0.5192644094907486, 0.47161584706273235, 0.4144580625863969, 0.4624518517408312]"
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,,1935,2005-08-10,18670776320,26.74383137562259,"[0.06803729201448161, 0.04975321949282351, 0.12514545249802936, 0.1387064549724755]"
WEC,WEC Energy Group,Utilities,Electric Utilities,,1896,2008-10-31,37606871040,26.479086184832116,"[0.44022604914010627, 0.4049589564826268, 0.3438952216225228, 0.36069023569023567]"
PPL,PPL Corporation,Utilities,Electric Utilities,,1920,2001-10-01,27687450624,26.474192175280855,"[0.41018671708815885, 0.40387391722810395, 0.3719311566691977, 0.4758775721943628]"
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,,1934,2024-07-08,21615978496,26.20839317258492,"[0.19873039935572503, 0.2525427933515257, 0.2422088977718558, 0.30592658553477786]"
CMS,CMS Energy,Utilities,Multi-Utilities,,1886,1957-03-04,22384304128,26.186139590608867,"[0.4270126413838989, 0.38354328598231036, 0.321312238250349, 0.3614408514121981]"
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,,2006 (1902),2004-08-03,203502714880,25.250172496355642,"[0.41283612024534155, 0.39900133000443333, 0.4223755983524435, 0.5008288490474612]"
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,,1999,2000-11-02,57995419648,25.230096946827626,"[0.6833775344340833, 0.7167630057803468, 0.7809575478095755, 0.6843764299150948]"
VTRS,Viatris,Health Care,Pharmaceuticals,,1961,2004-04-23,11856919552,24.967747674655236,"[0.38153779351800965, 0.41736188087042764, 0.3995031575322671, 0.3117190251756931]"
