Ticker,Full Name,ROIC History,ROIC Changes,ROIC Power
AVGO,Broadcom Inc.,"[np.float64(0.15956148148148147), np.float64(0.5162615869779887), np.float64(0.47797453042572496), np.float64(0.27243364246881996)]","[0.35670010549650727, -0.038287056552263776, -0.205540887956905]",4.2422010608127145
BR,"Broadridge Financial Solutions, Inc.","[np.float64(0.2631683825971438), np.float64(0.2832989805581862), np.float64(0.201879958606416), np.float64(0.23508120649651973)]","[0.020130597961042385, -0.0814190219517702, 0.03320124789010373]",19.519664955369173
BRO,"Brown & Brown, Inc.","[np.float64(0.0005489765508587561), np.float64(0.0005695301376364499), np.float64(0.00032597357440890127), np.float64(0.0004079075797969203)]","[2.0553586777693794e-05, -0.00024355656322754866, 8.193400538801906e-05]",7081.583166151748
BLDR,"Builders FirstSource, Inc.","[np.float64(0.2626466434388267), np.float64(0.32995587487044764), np.float64(0.5540065933468472), np.float64(0.34444638093995955)]","[0.06730923143162093, 0.22405071847639957, -0.20956021240688766]",5.578145131210172
BG,Bunge Global SA,"[np.float64(0.024042645778938207), np.float64(0.00661470618398113), np.float64(-0.00046012269938650307), np.float64(0.02903593839132915)]","[-0.017427939594957077, -0.007074828883367633, 0.029496061090715654]",49.68032314940585
CHRW,"C.H. Robinson Worldwide, Inc.","[np.float64(0.16534455956820804), np.float64(0.14827224557652802), np.float64(0.2708955890950787), np.float64(0.20232837647122176)]","[-0.01707231399168002, 0.1226233435185507, -0.06856721262385695]",12.380170928366613
CDNS,"Cadence Design Systems, Inc.","[np.float64(0.22349997509796593), np.float64(0.25048857509041794), np.float64(0.2623347436931457), np.float64(0.20988954443815835)]","[0.02698859999245201, 0.011846168602727747, -0.052445199254987335]",29.039569484928126
CPB,The Campbell's Company,"[np.float64(-0.0005873715124816446), np.float64(-0.0032555615843733042), np.float64(0.005777400169923535), np.float64(0.0032159511175430134)]","[-0.0026681900718916597, 0.00903296175429684, -0.0025614490523805213]",182.11653218275902
CAH,"Cardinal Health, Inc.","[np.float64(0.06273612221823897), np.float64(0.038331071913161464), np.float64(0.024429067992073547), np.float64(-0.0203390966358397)]","[-0.02440505030507751, -0.013902003921087917, -0.04476816462791325]",78.04220755946912
KMX,"CarMax, Inc.","[np.float64(-0.0013770947116316997), np.float64(0.0012247751587789644), np.float64(0.0012449366924332322), np.float64(0.004746463494741652)]","[0.0026018698704106643, 2.0161533654267788e-05, 0.0035015268023084203]",677.7259422858887
