"Date","Apple","Samsung","LG","Motorola","Unknown","Google","HTC","ZTE","Huawei","Nokia","Alcatel","Xiaomi","RIM","OnePlus","Kyocera","Sony","Lenovo","Oppo","T-Mobile","Coolpad","Asus","Vivo","Realme","Micromax","Mobicel","Pantech","Sumsung","Blu","Infinix","RCA","HP","Tecno","Nintendo","Sharp","Unimax","TCL","General Mobile","AT&T","BBK","Other"
2016-06,53.67,26.68,6.72,3.15,2.73,1.15,1.83,0.81,0.64,0.59,0.53,0.06,0.2,0.08,0.25,0.31,0.21,0.02,0,0.02,0.1,0,0,0.04,0,0.02,0,0,0,0.04,0.04,0,0.02,0.04,0,0,0.02,0,0,0.05
2016-07,52.41,26.25,6.5,3.09,2.81,3.41,1.72,0.76,0.64,0.51,0.51,0.05,0.17,0.08,0.23,0.29,0.2,0.02,0,0.02,0.09,0,0,0.03,0,0.02,0,0,0,0.04,0.04,0,0.02,0.04,0,0,0.01,0,0,0.05
2016-08,54.47,26.51,6.38,3.1,3.05,1.04,1.65,0.73,0.66,0.47,0.49,0.06,0.17,0.08,0.21,0.3,0.22,0.02,0,0.02,0.1,0,0,0.05,0,0.02,0,0,0,0.04,0.04,0,0.02,0.03,0,0,0.01,0,0,0.05
2016-09,51.72,26.58,6.04,3.26,5.06,0.98,1.62,0.65,0.78,0.58,0.47,0.16,0.17,0.1,0.19,0.39,0.51,0.03,0,0.03,0.15,0,0,0.28,0,0.02,0,0,0,0.03,0.04,0,0.02,0.03,0,0,0.02,0,0.01,0.11
2016-10,54.77,26.15,6.17,3.1,3.16,1.02,1.54,0.84,0.65,0.57,0.46,0.06,0.16,0.07,0.18,0.28,0.31,0.02,0,0.05,0.1,0,0,0.06,0,0.02,0,0,0,0.03,0.04,0,0.02,0.05,0,0,0.02,0,0,0.09
2016-11,53.83,27.53,6.67,3.1,1.72,1,1.46,1.24,0.61,0.44,0.56,0.08,0.14,0.11,0.3,0.27,0.26,0.02,0,0.17,0.09,0,0,0.05,0,0.02,0,0.02,0,0.04,0.03,0,0.03,0.04,0,0,0.02,0,0.02,0.15
2016-12,53.7,27.33,7.13,3.01,1.15,1.06,1.39,1.52,0.6,0.35,0.8,0.06,0.13,0.13,0.4,0.27,0.23,0.03,0,0.18,0.09,0,0,0.03,0,0.01,0,0.07,0.01,0.05,0.03,0,0.02,0.03,0,0,0.02,0,0.01,0.17
2017-01,53.89,27.3,7.09,3.06,0.98,1.01,1.34,1.59,0.59,0.31,0.86,0.07,0.14,0.13,0.37,0.25,0.23,0.03,0,0.17,0.1,0,0,0.03,0,0.01,0,0.08,0.01,0.05,0.03,0,0.02,0.02,0,0,0.02,0,0.01,0.2
2017-02,54.01,27.14,7.08,3.11,0.86,1.04,1.26,1.65,0.62,0.28,0.89,0.07,0.13,0.13,0.36,0.24,0.25,0.04,0,0.18,0.1,0,0,0.02,0.01,0.01,0,0.1,0.02,0.04,0.03,0.01,0.02,0.02,0,0,0.03,0,0.01,0.23
2017-03,53.57,27.41,7.26,3.16,0.8,1.1,1.17,1.74,0.62,0.25,0.88,0.08,0.11,0.13,0.35,0.22,0.26,0.04,0,0.17,0.11,0,0,0.02,0.01,0.01,0,0.11,0.02,0.04,0.03,0.01,0.02,0.02,0,0,0.04,0,0.02,0.25
2017-04,53.88,26.87,7.33,3.08,0.87,1.15,1.1,1.76,0.66,0.23,0.88,0.11,0.11,0.15,0.34,0.24,0.28,0.05,0,0.16,0.11,0,0,0.02,0.01,0.01,0,0.11,0.02,0.04,0.03,0.01,0.02,0.02,0,0,0.04,0,0.02,0.29
2017-05,53.49,26.5,7.51,3.14,1.21,1.13,1.08,1.8,0.71,0.23,0.89,0.14,0.1,0.15,0.34,0.26,0.3,0.07,0,0.17,0.12,0,0,0.03,0.02,0.01,0,0.11,0.02,0.03,0.02,0.01,0.02,0.01,0,0,0.04,0,0.03,0.32
2017-06,53.07,27.21,7.73,3.18,0.78,1.08,1.05,1.91,0.69,0.2,0.91,0.12,0.08,0.14,0.35,0.25,0.27,0.06,0,0.17,0.12,0,0,0.02,0.01,0.01,0,0.12,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0,0.03,0,0.02,0.27
2017-07,52.17,27.94,7.7,3.25,0.87,1.1,1.09,1.86,0.72,0.19,0.84,0.14,0.08,0.14,0.33,0.26,0.31,0.07,0,0.17,0.13,0,0,0.02,0.02,0.01,0,0.11,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0,0.03,0,0.02,0.28
2017-08,54.12,26.55,7.47,3.05,0.89,1.04,1.24,1.84,0.69,0.17,0.77,0.15,0.08,0.13,0.31,0.25,0.28,0.08,0.03,0.16,0.13,0,0,0.01,0.02,0.01,0,0.1,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0,0.03,0,0.02,0.27
2017-09,53.85,26.47,7.48,3.05,1.02,1.08,1.16,1.89,0.73,0.16,0.73,0.2,0.09,0.14,0.29,0.24,0.3,0.11,0.03,0.16,0.13,0,0,0.02,0.03,0.01,0,0.1,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0,0.03,0,0.04,0.33
2017-10,54.96,25.66,7.03,3.18,1.13,1.15,0.93,1.85,0.75,0.15,0.69,0.25,0.08,0.17,0.28,0.25,0.31,0.14,0.01,0.16,0.14,0,0,0.03,0.05,0.01,0,0.1,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0,0.04,0,0.05,0.35
2017-11,55.42,24.85,7.17,3.21,1.13,1.26,0.95,1.93,0.79,0.13,0.68,0.28,0.07,0.16,0.26,0.24,0.3,0.14,0.02,0.16,0.13,0,0,0.03,0.05,0.01,0,0.1,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0,0.04,0,0.05,0.34
2017-12,54.42,25.29,7.41,3.27,1.09,1.57,0.9,1.97,0.77,0.13,0.66,0.32,0.05,0.11,0.25,0.25,0.44,0.12,0.02,0.15,0.13,0,0,0.02,0.07,0,0,0.09,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0,0.03,0,0.05,0.31
2018-01,53.44,25.77,7.61,3.4,1.13,1.8,0.65,1.98,0.85,0.13,0.65,0.25,0.05,0.1,0.24,0.29,0.63,0.11,0,0.13,0.14,0,0,0.01,0.04,0,0,0.09,0.04,0.03,0.02,0.03,0.01,0.01,0.02,0,0.02,0,0.04,0.28
2018-02,54.02,25.51,7.49,3.47,1.18,1.69,0.61,2.01,0.85,0.11,0.62,0.28,0.05,0.08,0.23,0.26,0.56,0.12,0,0.13,0.13,0,0,0.01,0.05,0,0,0.08,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0,0.03,0,0.04,0.27
2018-03,56.26,24.27,6.73,3.41,1.18,1.76,0.61,1.82,0.97,0.11,0.58,0.35,0.04,0.08,0.21,0.24,0.3,0.16,0.01,0.11,0.14,0,0,0.02,0.06,0,0,0.08,0.02,0.02,0.01,0.02,0.01,0,0.02,0,0.03,0,0.05,0.3
2018-04,53.6,25.48,7.21,3.54,1.31,1.82,0.56,2.15,1.05,0.14,0.68,0.43,0.04,0.09,0.21,0.25,0.27,0.16,0.06,0.12,0.14,0,0,0.02,0.07,0.01,0,0.08,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0,0.02,0,0.04,0.32
2018-05,54.4,25.18,7.16,3.43,1.05,1.71,0.51,2.25,1.04,0.13,0.68,0.41,0.04,0.08,0.2,0.25,0.27,0.16,0.09,0.14,0.14,0,0,0.02,0.08,0.01,0,0.08,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0,0.02,0,0.04,0.32
2018-06,53.6,25.59,7.31,3.61,1.02,1.73,0.49,2.29,1,0.13,0.82,0.38,0.04,0.07,0.2,0.24,0.27,0.16,0.1,0.14,0.13,0,0,0.02,0.08,0.01,0,0.07,0.02,0.02,0.01,0.02,0.01,0.01,0.03,0,0.02,0,0.03,0.33
2018-07,52.19,26.03,7.09,3.49,1.27,1.81,0.45,2.09,1.05,0.13,1.85,0.43,0.05,0.07,0.19,0.22,0.27,0.17,0.1,0.13,0.13,0,0,0.02,0.1,0.01,0,0.08,0.03,0.02,0.01,0.02,0.01,0,0.08,0,0.02,0,0.04,0.35
2018-08,53.13,25.35,7.03,3.36,1.25,1.89,0.41,2.1,0.92,0.12,2.04,0.4,0.05,0.17,0.18,0.2,0.21,0.14,0.09,0.14,0.12,0,0,0.01,0.09,0,0,0.07,0.03,0.02,0.01,0.03,0.01,0,0.06,0,0.02,0,0.03,0.29
2018-09,53.7,25.11,7.37,3.42,1.13,1.94,0.38,1.99,0.95,0.1,1.57,0.38,0.05,0.23,0.17,0.21,0.17,0.14,0.09,0.13,0.15,0,0,0.01,0.08,0,0.03,0.06,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0,0.02,0,0.03,0.3
2018-10,56.08,23.22,7.02,3.53,1.18,1.94,0.37,1.66,0.9,0.1,1.65,0.46,0.05,0.2,0.16,0.2,0.17,0.15,0.08,0.12,0.13,0,0,0.01,0.09,0,0.04,0.05,0.03,0.02,0.01,0.03,0.01,0,0.02,0,0.02,0,0.03,0.26
2018-11,62.01,19.73,5.82,3.61,1.25,2.04,0.36,1.17,0.66,0.12,0.84,0.67,0.05,0.13,0.11,0.15,0.21,0.19,0.04,0.12,0.08,0,0,0.02,0.16,0,0.02,0.03,0.02,0.01,0.01,0.03,0.02,0,0.05,0,0.01,0,0.03,0.2
2018-12,56.91,24.76,5.86,3.75,1.12,2.23,0.32,1.08,0.77,0.13,0.26,0.94,0.04,0.22,0.09,0.13,0.23,0.3,0.03,0.12,0.09,0,0,0.03,0.22,0,0.02,0.02,0.03,0.01,0.01,0.03,0.01,0,0.01,0,0.02,0,0.04,0.19
2019-01,57.22,25.38,5.49,3.66,1.09,2.27,0.29,0.9,0.76,0.13,0.23,0.85,0.06,0.21,0.08,0.12,0.22,0.28,0.02,0.1,0.08,0,0,0.02,0.2,0,0.03,0.02,0.03,0.01,0.01,0.03,0.01,0,0,0,0.02,0,0.03,0.16
2019-02,57.33,25.14,5.51,3.72,1.2,2.36,0.28,0.82,0.75,0.14,0.22,0.86,0.06,0.21,0.07,0.12,0.21,0.27,0.02,0.09,0.08,0,0,0.02,0.22,0,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0,0,0,0.02,0,0.03,0.16
2019-03,54.74,25.59,6.7,3.6,1.16,2.22,0.26,1.09,0.85,0.17,0.43,0.8,0.07,0.39,0.13,0.21,0.2,0.32,0.06,0.07,0.19,0,0,0.01,0.19,0,0.11,0.03,0.02,0.01,0.01,0.03,0.01,0,0,0,0.01,0,0.04,0.28
2019-04,54.61,25.43,6.54,3.73,1.38,2.34,0.26,0.99,0.94,0.17,0.49,0.75,0.08,0.42,0.12,0.23,0.18,0.31,0.06,0.07,0.19,0,0,0.01,0.19,0,0.12,0.03,0.02,0.01,0.01,0.02,0.01,0,0,0,0.02,0,0.03,0.26
2019-05,53.62,25.67,6.85,3.77,1.9,2.42,0.23,0.96,0.97,0.16,0.46,0.68,0.04,0.43,0.12,0.21,0.17,0.32,0.05,0.06,0.18,0,0,0.02,0.18,0,0.13,0.02,0.02,0.01,0.01,0.02,0,0,0,0,0.01,0,0.03,0.26
2019-06,52.95,26.1,6.75,3.93,2.14,2.6,0.21,0.97,0.93,0.16,0.43,0.68,0.04,0.43,0.13,0.17,0.17,0.26,0.06,0.06,0.16,0,0,0.02,0.18,0,0.14,0.02,0.02,0.01,0.01,0.02,0,0,0,0,0.01,0,0.03,0.23
2019-07,55.67,24.8,6.24,3.84,1.56,2.52,0.19,0.84,0.96,0.16,0.36,0.71,0.05,0.43,0.1,0.16,0.19,0.27,0.05,0.06,0.14,0,0,0.02,0.2,0,0.14,0.02,0.02,0.01,0.01,0.02,0.01,0,0,0,0.01,0,0.03,0.23
2019-08,55.55,24.17,6.38,3.88,1.5,2.6,0.19,0.78,1.05,0.17,0.65,0.82,0.04,0.44,0.09,0.15,0.17,0.3,0.05,0.05,0.14,0.01,0.02,0.02,0.22,0,0.14,0.02,0.02,0.01,0.01,0.02,0,0,0.04,0,0.01,0,0.03,0.27
2019-09,55.65,25.07,6.27,3.76,0.97,2.51,0.18,0.67,1.23,0.17,0.59,0.72,0.03,0.5,0.08,0.15,0.15,0.25,0.04,0.11,0.12,0.01,0.04,0.02,0.2,0,0.13,0.02,0.02,0.01,0.01,0.02,0,0,0.04,0,0.01,0,0.02,0.24
2019-10,54.25,26.79,6.4,3.58,0.94,2.5,0.16,0.63,1.19,0.17,0.58,0.67,0.03,0.54,0.08,0.12,0.14,0.22,0.04,0.14,0.1,0,0.04,0.01,0.19,0,0.13,0.02,0.02,0.01,0.01,0.02,0,0,0.04,0,0.01,0,0.02,0.2
2019-11,55.7,26.29,6.03,3.45,0.84,2.51,0.13,0.56,1.11,0.17,0.52,0.6,0.02,0.52,0.1,0.11,0.13,0.21,0.05,0.15,0.09,0,0.05,0.01,0.18,0,0.12,0.01,0.02,0.01,0.01,0.02,0,0,0.05,0,0.01,0,0.02,0.17
2019-12,55.55,26.95,6.01,3.44,0.81,2.55,0.12,0.52,0.92,0.16,0.52,0.48,0.02,0.54,0.13,0.1,0.1,0.16,0.07,0.17,0.08,0,0.04,0,0.14,0,0.11,0.01,0.02,0,0,0.01,0,0,0.06,0,0.01,0,0.01,0.16
2020-01,57.42,25.64,5.61,3.19,0.74,2.54,0.11,0.45,1.06,0.17,0.5,0.54,0.02,0.57,0.1,0.1,0.11,0.17,0.08,0.17,0.08,0.01,0.04,0,0.14,0,0.11,0.01,0.02,0.01,0,0.02,0,0,0.07,0,0.01,0.01,0.01,0.17
2020-02,58.4,25.1,5.4,3.09,0.72,2.54,0.1,0.4,1.07,0.18,0.49,0.54,0.02,0.58,0.09,0.09,0.1,0.16,0.08,0.16,0.07,0.01,0.04,0,0.13,0,0.1,0.01,0.02,0,0,0.02,0,0,0.05,0,0.01,0.03,0.02,0.18
2020-03,60.1,24.37,5.05,2.91,0.67,2.49,0.09,0.34,1.01,0.15,0.46,0.48,0.02,0.57,0.08,0.09,0.09,0.14,0.07,0.14,0.07,0.01,0.04,0,0.12,0,0.09,0.01,0.02,0,0,0.02,0,0,0.04,0,0.01,0.04,0.01,0.19
2020-04,61.25,23.9,4.92,2.8,0.61,2.41,0.08,0.32,0.9,0.14,0.47,0.43,0.02,0.56,0.08,0.08,0.09,0.13,0.07,0.14,0.06,0.01,0.03,0,0.11,0,0.09,0.01,0.02,0,0,0.01,0,0,0.04,0,0.01,0.04,0.01,0.18
2020-05,58.46,25.11,5.43,3.24,0.76,2.58,0.08,0.4,0.94,0.14,0.62,0.39,0.02,0.57,0.1,0.08,0.11,0.1,0.07,0.14,0.06,0.01,0.03,0,0.09,0,0.11,0.01,0.02,0,0.01,0.02,0,0,0.06,0,0.01,0.04,0.01,0.18
2020-06,58.17,25.59,5.05,3.3,0.84,2.71,0.08,0.3,1.07,0.16,0.45,0.44,0.02,0.61,0.1,0.08,0.1,0.1,0.07,0.12,0.06,0.01,0.03,0,0.1,0,0.11,0.01,0.02,0,0.01,0.02,0,0,0.05,0,0.01,0.05,0.01,0.18
2020-07,58.78,25.22,4.74,3.34,0.89,2.67,0.07,0.27,1.08,0.17,0.41,0.47,0.02,0.61,0.1,0.08,0.12,0.12,0.06,0.11,0.06,0.01,0.03,0,0.12,0,0.1,0.01,0.02,0,0.01,0.02,0,0,0.03,0,0.01,0.05,0.01,0.18
2020-08,59.33,24.93,4.57,3.34,0.96,2.57,0.06,0.25,1.1,0.17,0.4,0.47,0.02,0.6,0.1,0.08,0.12,0.12,0.06,0.1,0.05,0.01,0.03,0,0.11,0,0.1,0.01,0.02,0,0.01,0.03,0,0,0.02,0,0.01,0.05,0.01,0.17
2020-09,59.72,24.72,4.54,3.3,0.93,2.53,0.06,0.23,1.08,0.17,0.37,0.5,0.02,0.62,0.1,0.07,0.11,0.13,0.06,0.1,0.05,0.01,0.04,0,0.11,0,0.1,0,0.04,0,0,0.04,0,0,0.02,0,0,0.05,0.01,0.16
2020-10,60.21,24.37,4.42,3.32,1.04,2.54,0.05,0.21,0.96,0.16,0.34,0.54,0.02,0.61,0.09,0.07,0.11,0.15,0.05,0.1,0.05,0.01,0.05,0,0.09,0,0.1,0,0.05,0,0,0.04,0,0,0.02,0,0,0.05,0.01,0.16
2020-11,61.23,23.79,4.14,3.29,1.25,2.51,0.05,0.18,0.88,0.15,0.29,0.53,0.02,0.59,0.1,0.07,0.11,0.15,0.03,0.1,0.05,0.01,0.06,0,0,0,0.09,0,0.05,0,0,0.05,0,0,0.01,0,0,0.05,0.01,0.15
2020-12,61.07,24.12,4.33,3.21,0.94,2.34,0.05,0.17,0.84,0.14,0.27,0.59,0.01,0.58,0.1,0.06,0.11,0.17,0.09,0.09,0.05,0.14,0.08,0,0,0,0.09,0,0.05,0,0,0.05,0,0,0.05,0,0,0.04,0.01,0.14
2021-01,61.47,23.8,4.24,3.15,0.92,2.37,0.04,0.16,0.84,0.14,0.25,0.62,0.01,0.56,0.09,0.06,0.11,0.2,0.12,0.08,0.04,0.16,0.09,0,0,0,0.09,0,0.06,0,0,0.05,0,0,0.05,0,0,0.04,0.01,0.16
2021-02,60.72,24.1,4.35,3.24,1,2.34,0.04,0.16,0.83,0.15,0.24,0.7,0.01,0.58,0.09,0.06,0.13,0.21,0.14,0.09,0.04,0.19,0.11,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.05,0,0,0.04,0.01,0.16
2021-03,59.98,24.37,4.4,3.36,1.14,2.35,0.04,0.15,0.88,0.15,0.23,0.74,0.01,0.6,0.09,0.05,0.11,0.24,0.15,0.09,0.04,0.22,0.13,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.05,0,0,0.04,0.01,0.14
2021-04,59.13,24.47,4.35,3.46,1.69,2.33,0.04,0.14,0.92,0.17,0.2,0.83,0.02,0.59,0.09,0.06,0.11,0.26,0.16,0.09,0.05,0.23,0.14,0,0,0,0.08,0,0.06,0,0,0.05,0,0,0.05,0,0,0.03,0.01,0.14
2021-05,58.1,24.92,4.47,3.57,1.94,2.29,0.03,0.14,0.93,0.16,0.19,0.91,0.01,0.58,0.09,0.05,0.13,0.29,0.18,0.1,0.05,0.26,0.16,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.06,0,0,0.03,0.01,0.14
2021-06,57.62,25.43,4.54,3.75,1.52,2.24,0.03,0.13,0.92,0.17,0.19,0.98,0.01,0.58,0.1,0.06,0.12,0.32,0.19,0.1,0.05,0.29,0.18,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.07,0,0,0.03,0.01,0.15
2021-07,57.26,25.66,4.49,3.86,1.59,2.23,0.03,0.13,0.9,0.18,0.19,0.94,0.01,0.61,0.09,0.06,0.13,0.31,0.2,0.1,0.05,0.28,0.17,0,0,0,0.09,0,0.07,0,0,0.07,0,0,0.1,0,0,0.03,0.01,0.15
2021-08,56.7,27.06,4.16,3.74,1.04,2.19,0.03,0.12,0.88,0.15,0.17,0.94,0.01,0.83,0.09,0.04,0.13,0.3,0.2,0.08,0.04,0.29,0.16,0,0,0,0.08,0,0.09,0,0,0.08,0,0,0.24,0,0,0.03,0.01,0.14
2021-09,57.08,27.05,4.04,3.82,1.06,2.12,0.02,0.11,0.83,0.14,0.16,0.92,0.01,0.82,0.09,0.04,0.12,0.28,0.19,0.08,0.04,0.27,0.16,0,0,0,0.07,0,0.08,0,0,0.07,0,0,0.14,0,0,0.03,0.01,0.13
